general_params = {
fan_speed = 0.000000,
angular_kp = 0.042000,
angular_ki = 0.000210,
angular_kd = 0.050000,
angular_acc_feed_forward_k = 0.000200,
angular_brake_feed_forward_k = 0.000200,
angular_vel_feed_forward_k = 0.001150,
linear_vel_acc_feed_forward_k = 0.031250,
linear_vel_brake_feed_forward_k = 0.018000,
linear_vel_feed_forward_k = 0.105000,
wall_kp = 0.009000,
wall_ki = 0.000000,
wall_kd = 0.000000,
linear_vel_kp = 2.500000,
linear_vel_ki = 0.010000,
linear_vel_kd = 25.000000,
diagonal_walls_kp = 0.005000,
diagonal_walls_ki = 0.000000,
diagonal_walls_kd = 0.000000,
start_wall_break_mm_left = 56.000000,
start_wall_break_mm_right = 56.000000,
enable_wall_break_correction = 1.000000,
max_linear_acc_jerk = 40.000000,
max_linear_brake_jerk = 40.000000,
wheel_radius_mm = 13.250000,
coulomb_ff = 0.130000,
angular_coulomb_ff = 0.030000,
angular_static_ff = 0.120000,
};
t;Vel;TgtVel;AngVel;TgtAngVel;PWM_L;PWM_R;ImuDiff;VelP;VelI;AngP;AngI;RotFF;LinFF;Batt_mV
64.0;0.0989;0.0838;0.0481;0.0000;46;44;-0.0049;-0.0393;-0.0070;-0.0029;-0.0020;0.0000;0.2126;10359
64.5;0.0994;0.0847;0.0440;0.0000;46;44;-0.0049;-0.0378;-0.0070;-0.0020;-0.0020;0.0000;0.2126;10359
65.0;0.1003;0.0861;0.0124;0.0000;46;46;0.0733;-0.0363;-0.0070;-0.0010;-0.0020;0.0000;0.2205;10359
65.5;0.1016;0.0875;0.0151;0.0000;46;46;-0.0049;-0.0363;-0.0070;-0.0010;-0.0020;0.0000;0.2205;10359
66.0;0.1030;0.0888;-0.0316;0.0000;48;48;-0.0049;-0.0363;-0.0070;0.0010;-0.0020;0.0000;0.2205;10308
66.5;0.1030;0.0902;-0.0481;0.0000;48;48;-0.0049;-0.0334;-0.0070;0.0020;-0.0020;0.0000;0.2205;10359
67.0;0.1044;0.0916;-0.0742;0.0000;48;50;-0.0049;-0.0319;-0.0070;0.0029;-0.0020;0.0000;0.2205;10359
67.5;0.1044;0.0929;-0.0783;0.0000;50;52;-0.0049;-0.0290;-0.0070;0.0029;-0.0020;0.0000;0.2205;10308
68.0;0.1058;0.0943;-0.0824;0.0000;50;52;-0.0049;-0.0290;-0.0070;0.0029;-0.0020;0.0000;0.2205;10308
68.5;0.1071;0.0957;-0.0632;0.0000;50;52;-0.0049;-0.0290;-0.0070;0.0020;-0.0020;0.0000;0.2205;10308
69.0;0.1094;0.0971;-0.0577;0.0000;50;50;-0.0049;-0.0319;-0.0070;0.0020;-0.0020;0.0000;0.2205;10308
69.5;0.1099;0.0984;-0.0508;0.0000;50;52;-0.0049;-0.0305;-0.0070;0.0020;-0.0020;0.0000;0.2205;10308
70.0;0.1117;0.0998;-0.0261;0.0000;52;52;-0.0049;-0.0305;-0.0085;0.0010;-0.0020;0.0000;0.2283;10308
70.5;0.1126;0.1012;-0.0206;0.0000;52;52;-0.0831;-0.0290;-0.0085;-0.0000;-0.0020;0.0000;0.2283;10308
71.0;0.1136;0.1026;-0.0069;0.0000;52;52;0.0733;-0.0275;-0.0085;-0.0000;-0.0020;0.0000;0.2283;10308
71.5;0.1149;0.1044;-0.0096;0.0000;52;52;-0.0049;-0.0275;-0.0085;-0.0000;-0.0020;0.0000;0.2283;10308
72.0;0.1168;0.1058;-0.0192;0.0000;52;52;-0.0049;-0.0290;-0.0085;-0.0000;-0.0020;0.0000;0.2283;10308
72.5;0.1181;0.1071;-0.0192;0.0000;52;52;0.0733;-0.0290;-0.0085;-0.0000;-0.0020;0.0000;0.2283;10308
73.0;0.1190;0.1085;-0.0220;0.0000;54;52;-0.0831;-0.0275;-0.0085;-0.0000;-0.0020;0.0000;0.2283;10308
73.5;0.1209;0.1099;-0.0247;0.0000;54;54;-0.0049;-0.0275;-0.0085;0.0010;-0.0020;0.0000;0.2283;10308
74.0;0.1218;0.1117;-0.0206;0.0000;54;54;-0.0049;-0.0261;-0.0085;-0.0000;-0.0020;0.0000;0.2283;10308
74.5;0.1227;0.1131;-0.0234;0.0000;54;56;0.0733;-0.0246;-0.0085;-0.0000;-0.0020;0.0000;0.2283;10308
75.0;0.1232;0.1145;-0.0234;0.0000;56;56;-0.0831;-0.0231;-0.0085;-0.0000;-0.0020;0.0000;0.2283;10308
75.5;0.1245;0.1158;-0.0165;0.0000;56;56;-0.0049;-0.0217;-0.0085;-0.0000;-0.0020;0.0000;0.2283;10308
76.0;0.1264;0.1177;-0.0357;0.0000;56;56;-0.0049;-0.0217;-0.0085;0.0010;-0.0020;0.0000;0.2283;10308
76.5;0.1282;0.1190;-0.0343;0.0000;54;56;-0.0049;-0.0231;-0.0085;0.0010;-0.0020;0.0000;0.2362;10308
77.0;0.1300;0.1204;-0.0481;0.0000;54;54;-0.0049;-0.0246;-0.0100;0.0020;-0.0020;0.0000;0.2362;10308
77.5;0.1323;0.1218;-0.0412;0.0000;54;54;-0.0049;-0.0261;-0.0100;0.0010;-0.0020;0.0000;0.2362;10308
78.0;0.1337;0.1236;-0.0316;0.0000;54;54;0.0733;-0.0261;-0.0100;0.0010;-0.0010;0.0000;0.2362;10308
78.5;0.1360;0.1250;-0.0261;0.0000;52;54;-0.0831;-0.0275;-0.0100;0.0010;-0.0010;0.0000;0.2362;10308
79.0;0.1369;0.1264;-0.0247;0.0000;54;54;-0.0049;-0.0261;-0.0100;0.0010;-0.0010;0.0000;0.2362;10308
79.5;0.1383;0.1282;-0.0302;0.0000;54;54;-0.0049;-0.0261;-0.0100;0.0010;-0.0010;0.0000;0.2362;10308
80.0;0.1397;0.1296;-0.0234;0.0000;54;54;-0.0049;-0.0261;-0.0100;-0.0000;-0.0010;0.0000;0.2362;10256
80.5;0.1415;0.1310;-0.0206;0.0000;54;54;-0.0049;-0.0261;-0.0100;-0.0000;-0.0010;0.0000;0.2362;10256
81.0;0.1438;0.1323;-0.0082;0.0000;52;54;0.0733;-0.0290;-0.0100;-0.0000;-0.0010;0.0000;0.2362;10308
81.5;0.1456;0.1342;0.0082;0.0000;54;52;-0.0831;-0.0290;-0.0100;-0.0010;-0.0010;0.0000;0.2362;10308
82.0;0.1470;0.1355;0.0288;0.0000;54;52;-0.0049;-0.0290;-0.0100;-0.0020;-0.0010;0.0000;0.2362;10308
82.5;0.1488;0.1369;0.0357;0.0000;54;52;-0.0049;-0.0305;-0.0100;-0.0020;-0.0010;0.0000;0.2362;10308
