>>> Place micromouse at 10 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
--- Sampling 90 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
90,1,10,20,1105,1761
90,2,10,16,1102,1765
90,3,10,16,1103,1764
90,4,10,14,1103,1766
90,5,10,15,1108,1764
90,6,10,15,1107,1762
90,7,10,14,1112,1766
90,8,10,15,1113,1764
90,9,10,15,1106,1767
90,10,10,15,1108,1766
90,11,10,15,1104,1764
90,12,10,16,1106,1763
90,13,10,15,1108,1764
90,14,10,13,1112,1767
90,15,10,15,1109,1764
90,16,10,15,1103,1767
90,17,10,14,1107,1767
90,18,10,14,1111,1761
90,19,9,14,1109,1761
90,20,10,15,1105,1764
90,21,10,15,1105,1767
90,22,10,15,1111,1765
90,23,10,14,1106,1767
90,24,10,14,1105,1766
90,25,10,15,1107,1761
90,26,10,16,1110,1766
90,27,10,15,1106,1764
90,28,10,15,1105,1766
90,29,10,14,1112,1765
90,30,10,13,1107,1764
90,31,10,14,1106,1763
90,32,10,15,1112,1763
90,33,10,16,1109,1767
90,34,10,16,1105,1765
90,35,10,14,1111,1767
90,36,10,14,1108,1765
90,37,10,14,1105,1763
90,38,10,14,1113,1764
90,39,10,14,1107,1764
90,40,10,14,1109,1767
90,41,10,15,1110,1764
90,42,10,15,1102,1767
90,43,10,16,1111,1767
90,44,10,16,1108,1762
90,45,10,16,1107,1765
90,46,10,16,1110,1764
90,47,10,15,1106,1767
90,48,10,15,1098,1765
90,49,10,14,1107,1767
90,50,10,14,1106,1766
--- 90 mm Summary | Avg: L=9 FL=14 FR=1107 R=1764 ---

>>> Place micromouse at 100 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 100 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
100,1,10,16,899,1488
100,2,10,17,897,1490
100,3,10,14,896,1490
100,4,10,14,901,1492
100,5,10,15,902,1492
100,6,10,14,904,1493
100,7,10,14,902,1490
100,8,10,16,900,1492
100,9,10,14,897,1492
100,10,10,14,900,1476
100,11,10,13,904,1492
100,12,9,15,901,1492
100,13,10,15,896,1494
100,14,10,14,896,1493
100,15,10,14,901,1489
100,16,10,13,901,1492
100,17,10,14,899,1489
100,18,10,15,905,1494
100,19,10,16,901,1492
100,20,10,15,894,1494
100,21,10,14,906,1494
100,22,10,14,901,1489
100,23,10,13,898,1493
100,24,10,13,905,1491
100,25,10,15,900,1493
100,26,10,15,897,1492
100,27,10,15,905,1492
100,28,10,15,901,1492
100,29,10,14,900,1490
100,30,10,14,903,1491
100,31,10,14,899,1490
100,32,10,14,901,1493
100,33,10,14,902,1492
100,34,10,13,897,1491
100,35,10,13,906,1492
100,36,10,13,898,1491
100,37,10,13,904,1492
100,38,10,14,902,1491
100,39,10,15,898,1493
100,40,10,15,904,1493
100,41,10,14,896,1489
100,42,10,14,907,1494
100,43,10,15,900,1476
100,44,10,15,901,1492
