marco@marco-tbn03374:~$ picocom /dev/ttyACM0 -b 115200
picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
state:PreCalib
state:CalibrationIRDistance

========================================
>>> Place micromouse at 10 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
90,23,158,118,976,1864
90,24,159,106,977,1862
90,25,159,113,976,1864
90,26,158,113,975,1860
90,27,159,109,969,1863
90,28,159,117,969,1864
90,29,160,106,971,1861
90,30,159,113,974,1863
90,31,158,113,974,1860
90,32,160,111,974,1863
90,33,159,118,978,1861
90,34,160,105,978,1862
90,35,157,115,980,1860
90,36,159,107,978,1861
90,37,159,113,977,1864
90,38,158,111,975,1861
90,39,159,112,972,1863
90,40,157,115,972,1860
90,41,159,112,969,1861
90,42,157,117,969,1862
90,43,157,111,968,1860
90,44,158,117,970,1864
90,45,157,110,969,1861
90,46,157,118,969,1863
90,47,156,106,971,1863
90,48,158,117,970,1860
90,49,156,106,971,1864
90,50,156,117,970,1858
--- 90 mm Summary | Avg: L=157 FL=111 FR=972 R=1861 ---

>>> Place micromouse at 100 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 100 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
100,1,156,106,762,1577
100,2,158,105,768,1580
100,3,155,107,768,1576
100,4,158,111,764,1580
100,5,157,113,769,1579
100,6,158,116,772,1577
100,7,157,107,764,1579
100,8,156,111,765,1575
100,9,157,113,767,1578
100,10,156,114,773,1577
100,11,157,104,766,1577
100,12,156,112,762,1579
100,13,157,115,764,1576
100,14,157,104,767,1577
100,15,156,112,769,1577
100,16,157,112,771,1579
100,17,156,104,768,1576
100,18,156,113,763,1577
100,19,157,110,763,1579
100,20,157,111,764,1577
100,21,158,117,767,1580
100,22,157,105,769,1577
100,23,157,113,769,1580
100,24,158,111,773,1580
100,25,157,111,771,1578
100,26,157,116,769,1579
100,27,158,107,766,1579
100,28,159,116,762,1580
100,29,158,107,763,1577
100,30,159,113,763,1581
100,31,158,110,766,1580
100,32,159,112,767,1578
100,33,159,113,768,1580
100,34,158,112,768,1578
100,35,160,116,768,1580
100,36,159,109,769,1578
100,37,159,119,769,1579
100,38,159,108,769,1580
100,39,160,119,769,1579
100,40,158,107,770,1579
100,41,159,119,772,1579
100,42,160,105,771,1580
100,43,159,118,773,1578
100,44,159,106,772,1578
100,45,159,118,773,1580
100,46,158,106,772,1576
100,47,159,119,772,1580
100,48,158,108,772,1577
100,49,158,118,771,1580
100,50,157,109,771,1578
--- 100 mm Summary | Avg: L=157 FL=111 FR=768 R=1578 ---

>>> Place micromouse at 110 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 110 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
110,1,159,105,617,1329
110,2,158,105,617,1328
110,3,159,110,615,1330
110,4,158,112,613,1329
110,5,159,118,618,1328
110,6,158,109,612,1329
110,7,157,110,614,1327
110,8,158,114,616,1329
110,9,156,111,619,1327
110,10,158,106,617,1328
110,11,156,112,614,1329
110,12,157,112,610,1325
110,13,156,110,615,1328
110,14,156,116,616,1327
110,15,156,107,617,1329
110,16,156,110,621,1322
110,17,157,115,618,1327
110,18,155,105,617,1329
110,19,157,115,613,1327
110,20,157,106,611,1329
110,21,157,111,613,1327
110,22,157,112,613,1328
110,23,156,110,616,1327
110,24,157,116,616,1327
110,25,156,107,616,1328
110,26,156,117,616,1327
110,27,158,104,617,1329
110,28,157,115,620,1328
110,29,158,105,620,1329
110,30,157,113,621,1330
110,31,158,106,621,1328
110,32,157,113,617,1330
110,33,158,107,621,1328
110,34,158,113,619,1330
110,35,159,108,620,1328
110,36,159,112,619,1330
110,37,159,106,620,1330
110,38,158,113,619,1328
110,39,160,105,621,1331
110,40,159,115,621,1328
110,41,160,105,621,1331
110,42,160,117,622,1329
110,43,160,105,622,1328
110,44,158,118,622,1329
110,45,160,109,621,1328
110,46,159,117,621,1331
110,47,159,111,621,1328
110,48,159,113,618,1327
110,49,158,112,618,1328
110,50,159,110,617,1327

========================================
>>> Place micromouse at 120 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 120 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
120,1,158,116,402,1138
120,2,158,114,398,1139
120,3,158,110,401,1137
120,4,158,105,405,1138
120,5,157,111,401,1137
120,6,158,114,397,1135
120,7,157,114,402,1137
120,8,156,105,405,1136
120,9,157,112,400,1136
120,10,156,117,396,1135
120,11,156,107,397,1135
120,12,156,111,400,1136
120,13,157,117,400,1135
120,14,156,104,405,1137
120,15,155,112,401,1133
120,16,156,115,398,1135
120,17,155,104,395,1134
120,18,156,113,396,1133
120,19,156,108,399,1134
120,20,155,111,400,1136
120,21,156,113,402,1138
120,22,156,108,404,1138
120,23,156,116,405,1140
120,24,153,104,405,1135
120,25,157,113,403,1135
120,26,156,107,402,1137
120,27,157,111,399,1134
120,28,158,109,399,1135
120,29,157,111,397,1134
120,30,158,113,395,1136
120,31,157,110,396,1137
120,32,158,114,395,1134
120,33,159,111,396,1138
120,34,158,114,397,1137
120,35,158,111,397,1137
120,36,158,115,397,1137
120,37,157,111,397,1137
120,38,158,114,398,1138
120,39,159,111,397,1138
120,40,159,113,397,1139
120,41,158,111,398,1137
120,42,159,112,397,1138
120,43,158,112,397,1137
120,44,159,110,396,1132
120,45,159,113,397,1139
120,46,158,107,396,1137
120,47,160,114,396,1139
120,48,158,105,398,1137
120,49,159,117,399,1138
120,50,158,107,402,1138

>>> Place micromouse at 130 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 130 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
130,1,158,115,169,1015
130,2,157,116,170,1014
130,3,158,117,166,1016
130,4,157,109,170,1014
130,5,158,108,174,1014
130,6,158,112,168,1015
130,7,158,116,165,1013
130,8,158,105,169,1015
130,9,157,112,171,1013
130,10,158,117,174,1014
130,11,157,105,171,1016
130,12,157,113,167,1015
130,13,158,112,164,1015
130,14,157,110,168,1015
130,15,157,116,169,1016
130,16,157,106,170,1014
130,17,157,112,170,1014
130,18,156,112,174,1015
130,19,157,111,173,1014
130,20,156,115,172,1015
130,21,156,110,171,1014
130,22,157,117,169,1015
130,23,156,104,168,1014
130,24,156,114,166,1014
130,25,155,105,165,1015
130,26,155,113,164,1014
130,27,155,105,163,1014
130,28,155,112,163,1013
130,29,155,108,163,1012
130,30,154,112,165,1014
130,31,155,107,163,1013
130,32,155,113,164,1014
130,33,154,105,164,1013
130,34,154,113,164,1015
130,35,154,104,163,1013
130,36,154,114,163,1013
130,37,154,104,163,1015
130,38,155,116,163,1014
130,39,155,107,163,1015
130,40,155,116,163,1014
130,41,156,110,165,1015
130,42,155,112,168,1015
130,43,156,111,168,1014
130,44,155,108,170,1015
130,45,155,113,171,1014
130,46,156,104,172,1016
130,47,155,117,174,1015
130,48,156,109,172,1015
130,49,156,114,171,1016
130,50,157,112,169,1014
--- 130 mm Summary | Avg: L=156 FL=110 FR=167 R=1014 ---

>>> Place micromouse at 140 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 140 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
140,1,158,111,63,851
140,2,156,105,62,850
140,3,156,104,60,850
140,4,155,111,64,849
140,5,157,115,64,848
140,6,156,111,58,846
140,7,157,105,59,847
140,8,156,111,62,848
140,9,157,113,63,847
140,10,156,105,66,849
140,11,156,113,62,849
140,12,157,111,59,846
140,13,157,109,56,850
140,14,157,116,59,849
140,15,157,104,62,851
140,16,157,112,62,849
140,17,158,110,62,850
140,18,157,111,64,850
140,19,158,116,65,851
140,20,157,107,66,852
140,21,159,117,67,850
140,22,157,104,67,851
140,23,158,115,67,851
140,24,159,104,64,851
140,25,158,112,64,851
140,26,158,107,63,851
140,27,158,112,63,851
140,28,159,106,63,851
140,29,159,112,63,852
140,30,158,106,63,851
140,31,159,114,63,852
140,32,159,105,64,850
140,33,160,113,64,851
140,34,159,105,63,851
140,35,159,117,65,851
140,36,159,106,66,852
140,37,159,118,66,851
140,38,159,109,67,853
140,39,159,116,68,852
140,40,160,111,67,851
140,41,159,111,66,852
140,42,158,112,65,851
140,43,159,106,64,852
140,44,158,114,64,851
140,45,159,104,63,852
140,46,159,117,63,851
140,47,159,112,61,846
140,48,158,111,59,851
140,49,157,113,57,850
140,50,158,105,58,851
--- 140 mm Summary | Avg: L=157 FL=110 FR=63 R=850 ---

========================================
>>> Place micromouse at 150 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 150 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
150,1,158,116,58,721
150,2,160,117,57,722
150,3,158,111,60,724
150,4,160,105,51,723
150,5,159,111,56,724
150,6,159,117,59,722
150,7,159,111,62,724
150,8,159,110,57,723
150,9,159,116,52,722
150,10,159,109,55,723
150,11,158,111,57,723
150,12,159,117,58,724
150,13,158,105,61,722
150,14,159,113,62,724
150,15,158,110,59,723
150,16,159,112,58,722
150,17,159,114,56,723
150,18,157,110,53,722
150,19,158,117,52,723
150,20,157,104,52,722
150,21,158,115,52,721
150,22,157,105,54,723
150,23,157,114,54,722
150,24,157,104,55,723
150,25,156,114,55,722
150,26,157,105,56,722
150,27,156,113,55,721
150,28,155,105,56,721
150,29,156,114,56,722
150,30,156,104,56,721
150,31,156,115,56,722
150,32,155,105,56,721
150,33,156,116,55,721
150,34,156,107,55,722
150,35,156,116,54,722
150,36,155,110,53,722
150,37,156,112,51,721
150,38,156,111,51,723
150,39,156,109,51,722
150,40,157,112,51,722
150,41,156,103,53,722
150,42,157,116,56,721
150,43,157,108,57,722
150,44,156,114,58,719
150,45,158,111,60,720
150,46,157,109,61,718
150,47,158,112,58,720
150,48,157,104,57,721
150,49,157,117,56,719
150,50,159,111,56,721
--- 150 mm Summary | Avg: L=157 FL=110 FR=55 R=721 ---

========================================
>>> Place micromouse at 160 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 160 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
